date,Sales
7/1/1995,182909
6/1/1995,191609
5/1/1995,190269
4/1/1995,176635
3/1/1995,181910
2/1/1995,155156
1/1/1995,158004
12/1/1994,221549
11/1/1994,184272
10/1/1994,178642
9/1/1994,175128
8/1/1994,182445
7/1/1994,173198
6/1/1994,178509
5/1/1994,175527
4/1/1994,170795
3/1/1994,173562
2/1/1994,146332
1/1/1994,145276
12/1/1993,206174
11/1/1993,169980
10/1/1993,163992
9/1/1993,159298
8/1/1993,163989
7/1/1993,164590
6/1/1993,162964
5/1/1993,163519
4/1/1993,158615
3/1/1993,153025
2/1/1993,134462
1/1/1993,137020
12/1/1992,191347
11/1/1992,154824
10/1/1992,155987
9/1/1992,148158
8/1/1992,152476
7/1/1992,152586
6/1/1992,151849
5/1/1992,152420
4/1/1992,147175
3/1/1992,142488
2/1/1992,131244
1/1/1992,130683
