date,Inflation
6/1/1997,2.8
5/1/1997,2.9
4/1/1997,3
3/1/1997,2.8
2/1/1997,3
1/1/1997,3
12/1/1996,3
11/1/1996,3
10/1/1996,3
9/1/1996,3.2
8/1/1996,3.1
7/1/1996,3
6/1/1996,2.9
5/1/1996,3.1
4/1/1996,3
3/1/1996,2.9
2/1/1996,2.8
1/1/1996,2.8
12/1/1995,2.7
11/1/1995,2.8
10/1/1995,2.9
9/1/1995,2.8
8/1/1995,2.9
7/1/1995,2.9
6/1/1995,2.9
5/1/1995,3
4/1/1995,3.3
3/1/1995,3.2
2/1/1995,3
1/1/1995,3
12/1/1994,3
11/1/1994,3.2
10/1/1994,3
9/1/1994,3.4
8/1/1994,3.1
7/1/1994,2.9
6/1/1994,2.7
5/1/1994,3.1
4/1/1994,3
3/1/1994,3
2/1/1994,2.8
1/1/1994,2.8
12/1/1993,3
11/1/1993,2.8
10/1/1993,3.3
9/1/1993,3
8/1/1993,3.2
7/1/1993,3
6/1/1993,3.5
5/1/1993,2.9
4/1/1993,3
3/1/1993,3.1
2/1/1993,3.2
1/1/1993,2.9
12/1/1992,2.8
11/1/1992,2.9
10/1/1992,2.8
9/1/1992,3
8/1/1992,2.8
7/1/1992,2.7
6/1/1992,3.1
5/1/1992,2.9
4/1/1992,3
3/1/1992,2.6
2/1/1992,2.6
1/1/1992,2.7
12/1/1991,2.7
11/1/1991,2.9
10/1/1991,3.2
9/1/1991,3
8/1/1991,3.2
7/1/1991,3.1
6/1/1991,3.3
5/1/1991,3.1
4/1/1991,3.2
3/1/1991,3.3
2/1/1991,3.4
1/1/1991,3.9
12/1/1990,4.7
11/1/1990,4.7
10/1/1990,4.8
9/1/1990,4.7
8/1/1990,4.6
7/1/1990,3.4
6/1/1990,3.8
5/1/1990,3.4
4/1/1990,3.6
3/1/1990,3.7
2/1/1990,4.1
1/1/1990,4.1
12/1/1989,3.5
11/1/1989,3.5
10/1/1989,3.6
9/1/1989,3.4
8/1/1989,3.5
7/1/1989,4.1
6/1/1989,3.8
5/1/1989,4.6
4/1/1989,4.3
3/1/1989,3.7
2/1/1989,4.1
1/1/1989,3.5
12/1/1988,3.9
11/1/1988,3.7
10/1/1988,3.9
9/1/1988,3.9
8/1/1988,4.4
7/1/1988,4.6
6/1/1988,3.7
5/1/1988,3.3
4/1/1988,3.3
3/1/1988,3.2
2/1/1988,3.1
1/1/1988,3.2
12/1/1987,3.1
11/1/1987,3.2
10/1/1987,3.3
9/1/1987,3
8/1/1987,3.2
7/1/1987,3.1
6/1/1987,3.3
5/1/1987,3.4
4/1/1987,3
3/1/1987,3
2/1/1987,3.1
1/1/1987,2.9
12/1/1986,3
11/1/1986,2.8
10/1/1986,3.2
9/1/1986,2.9
8/1/1986,3
7/1/1986,2.8
6/1/1986,2.9
5/1/1986,2.7
4/1/1986,2.4
3/1/1986,2.3
2/1/1986,2.8
1/1/1986,2.9
12/1/1985,3.5
11/1/1985,3.1
10/1/1985,3.3
9/1/1985,2.9
8/1/1985,2.8
7/1/1985,2.8
6/1/1985,3.4
5/1/1985,3.2
4/1/1985,3.3
3/1/1985,3
2/1/1985,3.1
1/1/1985,2.9
12/1/1984,3.3
11/1/1984,3.4
10/1/1984,3.5
9/1/1984,3
