Date,Nas_Close,Nas_Volume
4/1/2022,14261.5,1019884806
3/1/2022,14220.519,26964289770
2/1/2022,13751.399,18893380907
1/1/2022,14239.883,20652338241
12/1/2021,15644.971,22793982904
11/1/2021,15537.691,21650408237
10/1/2021,15498.388,18708446295
9/1/2021,14448.581,20386896202
8/1/2021,15259.235,17681288822
7/1/2021,14672.678,17455837215
6/1/2021,14503.953,24048313629
5/1/2021,13748.739,18492542668
4/1/2021,13962.68,18514952779
3/1/2021,13246.87,29117810074
2/1/2021,13192.35,27399221363
1/1/2021,13070.695,26547129200
12/1/2020,12888.282,23504578175
11/1/2020,12198.737,19469397524
10/1/2020,10911.591,16774563098
9/1/2020,11167.68,20520576928
8/1/2020,11775.456,17244602454
7/1/2020,10745.275,20682333679
6/1/2020,10058.765,27301039065
5/1/2020,9489.872,18165195419
4/1/2020,8889.551,18759920372
3/1/2020,7700.098,25111758860
2/1/2020,8567.368,13386395038
1/1/2020,9150.936,12887269817
12/1/2019,8972.604,12249707059
11/1/2019,8665.471,10745739757
10/1/2019,8292.36,11226733804
9/1/2019,7999.332,11510849523
8/1/2019,7962.882,11994480568
7/1/2019,8175.419,11143906050
6/1/2019,8006.244,12574574000
5/1/2019,7453.148,12283387305
4/1/2019,8095.388,10751583657
3/1/2019,7729.321,13041281885
2/1/2019,7532.532,10637207490
1/1/2019,7281.737,12227386728
12/1/2018,6635.277,13123251192
11/1/2018,7330.536,12569887986
10/1/2018,7305.899,14831031645
9/1/2018,8046.353,11153039738
8/1/2018,8109.537,10701358279
7/1/2018,7671.789,9424389971
6/1/2018,7510.304,12841254425
5/1/2018,7442.117,10635804212
4/1/2018,7066.266,10155255992
3/1/2018,7063.445,12330610876
2/1/2018,7273.009,10805256007
1/1/2018,7411.482,10402836615
12/1/2017,6903.389,10003547944
11/1/2017,6873.973,10199649517
10/1/2017,6727.669,9643769843
9/1/2017,6495.959,9408462400
8/1/2017,6428.662,9581315806
7/1/2017,6348.123,8578650016
6/1/2017,6140.42,12495363264
5/1/2017,6198.517,10239273745
4/1/2017,6047.606,8302492073
3/1/2017,5911.738,10998962695
2/1/2017,5825.438,8563523411
1/1/2017,5614.786,8376144160
12/1/2016,5383.117,9320947928
11/1/2016,5323.681,9909321423
10/1/2016,5189.135,7966814717
9/1/2016,5312.002,9630437304
8/1/2016,5213.219,8786093113
7/1/2016,5162.131,8009903153
6/1/2016,4842.672,10955133083
5/1/2016,4948.055,9206781361
4/1/2016,4775.358,8823597357
3/1/2016,4869.847,10058118191
2/1/2016,4557.95,10514593734
1/1/2016,4613.953,10699146163
12/1/2015,5007.411,9858187956
11/1/2015,5108.666,8403493401
10/1/2015,5053.748,9908891296
9/1/2015,4620.165,10526666328
8/1/2015,4776.508,10457312364
7/1/2015,5128.281,9461291999
6/1/2015,4986.867,10528390818
5/1/2015,5070.025,8571345051
4/1/2015,4941.424,8956098702
3/1/2015,4900.884,10385094747
2/1/2015,4963.527,8773354039
1/1/2015,4635.24,10019024893
12/1/2014,4736.053,10630135232
11/1/2014,4791.63,8476388591
10/1/2014,4630.741,12866171303
9/1/2014,4493.39,10136578781
8/1/2014,4580.271,8184923095
7/1/2014,4369.773,9698919623
6/1/2014,4408.178,10349600999
5/1/2014,4242.618,9827622749
4/1/2014,4114.556,11052431542
3/1/2014,4198.994,11616764933
2/1/2014,4308.119,9937205957
1/1/2014,4103.877,10888382138
12/1/2013,4176.59,9258295816
11/1/2013,4059.886,8563264691
10/1/2013,3919.706,10305048923
9/1/2013,3771.479,8325037168
8/1/2013,3589.868,7583450829
7/1/2013,3626.37,8366121811
6/1/2013,3403.25,9559899529
5/1/2013,3455.91,9016196009
4/1/2013,3328.79,9229704287
3/1/2013,3267.52,7851575230
2/1/2013,3160.19,8070915907
1/1/2013,3142.13,8316180715
12/1/2012,3019.51,7725068038
11/1/2012,3010.24,8594081618
10/1/2012,2977.23,8246779298
9/1/2012,3116.23,8064576503
8/1/2012,3066.96,8589430282
7/1/2012,2939.52,8858284945
6/1/2012,2935.05,10158062665
5/1/2012,2827.34,10552964125
