,New_cases,New_deaths,Date
264,41648,570,9-2020
265,49225,649,9-2020
266,41944,898,9-2020
267,46056,737,9-2020
268,49634,762,9-2020
269,41813,672,9-2020
270,35311,498,9-2020
271,38846,402,9-2020
272,38733,799,10-2020
273,45701,683,10-2020
274,47090,740,10-2020
275,51144,906,10-2020
276,47629,544,10-2020
277,35413,596,10-2020
278,41461,519,10-2020
279,41563,630,10-2020
280,53906,798,10-2020
281,55450,722,10-2020
282,58996,785,10-2020
283,53705,675,10-2020
284,44481,572,10-2020
285,49476,505,10-2020
286,50050,649,10-2020
287,57788,817,10-2020
288,62967,709,10-2020
289,69074,871,10-2020
290,54250,689,10-2020
291,48635,744,10-2020
292,61599,614,10-2020
293,58854,790,10-2020
294,69027,1036,10-2020
295,74784,928,10-2020
296,82262,939,10-2020
297,76033,795,10-2020
298,65612,602,10-2020
299,69706,692,10-2020
300,75261,893,10-2020
301,84486,1069,10-2020
302,91143,1094,10-2020
303,97656,922,11-2020
304,92405,933,11-2020
305,141383,706,11-2020
306,87385,742,11-2020
307,98428,1032,11-2020
308,114201,1298,11-2020
309,123120,1209,11-2020
310,133788,1286,11-2020
311,129058,1073,11-2020
312,111634,884,11-2020
313,124543,940,11-2020
314,146062,1676,11-2020
315,153572,1515,11-2020
316,162246,1361,11-2020
317,177244,1258,11-2020
318,163826,1457,11-2020
319,139096,1030,11-2020
320,152707,1040,11-2020
321,167114,1585,11-2020
322,170960,1841,11-2020
323,189611,1897,11-2020
324,192996,1970,11-2020
325,173570,1694,11-2020
326,150795,1306,11-2020
327,159821,1450,11-2020
328,175192,1873,11-2020
329,194202,2280,11-2020
330,143848,1667,11-2020
331,165739,1653,11-2020
332,143815,1501,11-2020
333,140465,1279,12-2020
334,152527,1574,12-2020
335,192592,2364,12-2020
336,209995,2765,12-2020
337,217694,2716,12-2020
338,224494,2612,12-2020
339,205924,2339,12-2020
340,176796,1597,12-2020
341,182954,2009,12-2020
342,227635,2534,12-2020
343,220533,3352,12-2020
344,208607,2674,12-2020
345,246883,3193,12-2020
346,215857,2398,12-2020
347,181548,2032,12-2020
348,197679,1995,12-2020
349,199712,2750,12-2020
350,240379,3387,12-2020
351,245506,3336,12-2020
352,236818,2950,12-2020
353,202102,2683,12-2020
354,186577,2077,12-2020
355,183320,2169,12-2020
356,198803,2890,12-2020
357,226511,3203,12-2020
358,201607,3023,12-2020
359,158967,2221,12-2020
360,149536,1636,12-2020
361,152849,1886,12-2020
362,178589,2216,12-2020
363,208567,3344,12-2020
364,237542,3760,1-2021
365,229182,3754,1-2021
366,227548,3023,1-2021
367,226226,2350,1-2021
368,204641,2035,1-2021
369,175028,2077,1-2021
370,243330,3473,1-2021
371,258314,3860,1-2021
372,268931,3959,1-2021
373,293313,3753,1-2021
374,255420,3336,1-2021
375,223836,2551,1-2021
376,204133,2609,1-2021
377,218005,3582,1-2021
378,227236,4053,1-2021
379,223033,3704,1-2021
380,239311,3397,1-2021
381,213058,3526,1-2021
382,183585,2576,1-2021
383,151277,2283,1-2021
384,150364,2735,1-2021
385,188062,3834,1-2021
386,187758,3825,1-2021
387,190207,3677,1-2021
388,164573,2986,1-2021
389,143921,2477,1-2021
390,133845,2119,1-2021
391,146556,3550,1-2021
392,159215,3976,1-2021
393,155772,3855,1-2021
394,164540,3252,1-2021
395,137103,2767,2-2021
396,112172,2286,2-2021
397,128661,2267,2-2021
398,121805,2961,2-2021
399,108746,3305,2-2021
400,125214,3127,2-2021
401,124698,3407,2-2021
402,108468,2767,2-2021
403,91632,1804,2-2021
404,82204,1692,2-2021
405,91411,2433,2-2021
406,99030,2820,2-2021
407,98992,3245,2-2021
408,97611,5075,2-2021
409,84602,3309,2-2021
410,66300,1552,2-2021
411,58157,1395,2-2021
412,57462,1426,2-2021
413,63874,2180,2-2021
414,68369,2247,2-2021
415,73507,2426,2-2021
416,65882,1895,2-2021
417,55617,1541,2-2021
418,56189,1502,2-2021
419,70437,1700,2-2021
420,72568,1999,2-2021
421,71700,2926,2-2021
422,73439,1929,2-2021
423,67671,1613,3-2021
424,51976,1088,3-2021
425,51123,1248,3-2021
426,54338,1351,3-2021
427,65764,1555,3-2021
428,65235,1555,3-2021
429,63903,1953,3-2021
430,57468,1270,3-2021
431,43383,910,3-2021
432,43216,819,3-2021
433,53826,1156,3-2021
434,61770,1574,3-2021
435,60055,1320,3-2021
436,64069,1451,3-2021
437,52167,975,3-2021
438,47263,659,3-2021
439,43577,698,3-2021
440,51914,861,3-2021
441,61497,1052,3-2021
442,62567,834,3-2021
443,62065,1184,3-2021
444,58168,719,3-2021
445,44954,549,3-2021
446,48396,939,3-2021
447,57899,750,3-2021
448,68174,1120,3-2021
449,65652,986,3-2021
450,75019,1056,3-2021
451,62828,854,3-2021
452,52989,616,3-2021
453,58137,555,3-2021
454,61495,723,4-2021
455,70587,953,4-2021
456,73493,810,4-2021
457,70523,841,4-2021
458,63301,740,4-2021
459,45395,518,4-2021
460,56781,368,4-2021
461,63738,721,4-2021
462,75085,824,4-2021
463,75096,857,4-2021
464,76617,859,4-2021
465,67650,746,4-2021
466,53301,466,4-2021
467,60966,535,4-2021
468,71635,739,4-2021
469,70864,795,4-2021
470,71662,793,4-2021
471,71184,803,4-2021
472,77094,632,4-2021
473,49047,494,4-2021
474,35278,478,4-2021
475,57464,732,4-2021
476,63145,765,4-2021
477,61900,780,4-2021
478,62125,835,4-2021
479,51590,663,4-2021
480,40641,432,4-2021
481,30495,468,4-2021
482,50317,536,4-2021
483,54516,837,4-2021
484,55924,758,5-2021
485,54968,792,5-2021
486,48278,624,5-2021
487,36331,501,5-2021
488,33047,464,5-2021
489,42656,678,5-2021
490,44632,710,5-2021
491,42770,667,5-2021
492,44520,803,5-2021
493,36861,614,5-2021
494,27237,403,5-2021
495,24591,409,5-2021
496,33077,597,5-2021
497,35839,690,5-2021
498,40399,586,5-2021
499,35335,685,5-2021
500,29454,434,5-2021
501,21316,436,5-2021
502,19556,364,5-2021
503,27776,602,5-2021
504,27638,598,5-2021
505,27845,522,5-2021
506,27952,668,5-2021
507,21997,400,5-2021
508,15848,287,5-2021
509,15351,563,5-2021
510,24199,502,5-2021
511,23521,520,5-2021
512,22062,538,5-2021
513,24777,702,5-2021
514,15533,309,5-2021
515,12309,253,6-2021
516,9308,226,6-2021
517,9047,334,6-2021
518,16153,494,6-2021
519,18321,474,6-2021
520,18637,593,6-2021
521,14623,395,6-2021
522,11029,424,6-2021
523,9992,320,6-2021
524,14318,311,6-2021
525,19659,388,6-2021
526,15914,387,6-2021
527,14082,398,6-2021
528,12294,212,6-2021
529,8723,148,6-2021
530,8335,195,6-2021
531,12799,309,6-2021
532,13080,340,6-2021
533,13415,278,6-2021
534,11972,272,6-2021
535,12293,253,6-2021
536,9029,216,6-2021
537,8685,271,6-2021
538,13374,309,6-2021
539,13809,337,6-2021
540,15531,315,6-2021
541,15042,403,6-2021
542,13186,241,6-2021
543,10602,173,6-2021
544,10598,191,6-2021
545,15653,275,7-2021
546,11563,244,7-2021
547,18625,288,7-2021
548,16870,300,7-2021
549,13148,153,7-2021
550,10374,123,7-2021
551,9256,106,7-2021
552,20053,300,7-2021
553,22663,253,7-2021
554,183709,264,7-2021
555,27632,311,7-2021
556,20756,145,7-2021
557,16615,116,7-2021
558,29221,304,7-2021
559,35036,334,7-2021
560,38384,337,7-2021
561,40595,321,7-2021
562,42283,368,7-2021
563,32135,177,7-2021
564,28187,147,7-2021
565,45353,285,7-2021
566,51008,319,7-2021
567,61254,394,7-2021
568,71815,341,7-2021
569,69707,414,7-2021
570,53669,244,7-2021
571,43245,249,7-2021
572,71318,417,7-2021
573,86100,497,7-2021
574,89192,489,7-2021
575,99395,501,7-2021
576,104663,649,8-2021
577,80533,398,8-2021
578,61301,369,8-2021
579,102398,653,8-2021
580,110617,702,8-2021
581,126850,740,8-2021
582,127926,759,8-2021
583,133878,835,8-2021
584,120029,641,8-2021
585,96764,526,8-2021
586,93198,720,8-2021
587,135795,960,8-2021
588,143640,601,8-2021
589,151122,988,8-2021
590,146324,1194,8-2021
591,139504,891,8-2021
592,110771,676,8-2021
