Date,Open,Day Low,Day High,Close,Volume
4/1/2022,14269.53,14131.806,14306.944,14261.5,1019884806
3/1/2022,13716.698,12555.35,14646.902,14220.519,26964289770
2/1/2022,14277.434,12587.882,14509.558,13751.399,18893380907
1/1/2022,15732.497,13094.654,15852.136,14239.883,20652338241
12/1/2021,15752.269,14860.039,15901.47,15644.971,22793982904
11/1/2021,15541.262,15451.385,16212.229,15537.691,21650408237
10/1/2021,14494.931,14181.691,15504.122,15498.388,18708446295
9/1/2021,15308.975,14444.299,15403.437,14448.581,20386896202
8/1/2021,14758.604,14423.162,15288.083,15259.235,17681288822
7/1/2021,14493.69,14178.657,14863.646,14672.678,17455837215
6/1/2021,13829.055,13548.929,14535.969,14503.953,24048313629
5/1/2021,14031.773,13002.535,14042.124,13748.739,18492542668
4/1/2021,13414.325,13404.178,14211.572,13962.68,18514952779
3/1/2021,13406.162,12397.053,13620.711,13246.87,29117810074
2/1/2021,13226.178,13003.981,14175.115,13192.35,27399221363
1/1/2021,12958.522,12543.241,13728.984,13070.695,26547129200
12/1/2020,12313.364,12214.739,12973.333,12888.282,23504578175
11/1/2020,11010.448,10830.945,12244.645,12198.737,19469397524
10/1/2020,11291.993,10822.57,11965.54,10911.591,16774563098
9/1/2020,11850.964,10519.493,12074.065,11167.68,20520576928
8/1/2020,10848.636,10762.71,11829.843,11775.456,17244602454
7/1/2020,10063.671,10048.041,10839.928,10745.275,20682333679
6/1/2020,9471.419,9403.004,10221.847,10058.765,27301039065
5/1/2020,8681.291,8537.829,9523.643,9489.872,18165195419
4/1/2020,7459.501,7288.113,8957.265,8889.551,18759920372
3/1/2020,8667.144,6631.42,9070.322,7700.098,25111758860
2/1/2020,9190.722,8264.159,9838.372,8567.368,13386395038
1/1/2020,9039.459,8943.502,9451.432,9150.936,12887269817
12/1/2019,8672.845,8435.401,9052.002,8972.604,12249707059
11/1/2019,8335.052,8326.557,8705.914,8665.471,10745739757
10/1/2019,8026.827,7700.002,8335.564,8292.36,11226733804
9/1/2019,7906.437,7847.32,8243.797,7999.332,11510849523
8/1/2019,8190.561,7662.904,8311.038,7962.882,11994480568
7/1/2019,8145.853,8059.29,8339.639,8175.419,11143906050
6/1/2019,7441.215,7292.215,8088.88,8006.244,12574574000
5/1/2019,8132.931,7448.227,8164.714,7453.148,12283387305
4/1/2019,7800.236,7777.095,8176.08,8095.388,10751583657
3/1/2019,7587.45,7332.917,7850.105,7729.321,13041281885
2/1/2019,7256.371,7225.137,7602.694,7532.532,10637207490
1/1/2019,6506.906,6457.131,7303.121,7281.737,12227386728
12/1/2018,7486.129,6190.166,7486.513,6635.277,13123251192
11/1/2018,7327.824,6830.761,7572.927,7330.536,12569887986
10/1/2018,8091.497,6922.828,8107.379,7305.899,14831031645
9/1/2018,8087.955,7873.926,8104.071,8046.353,11153039738
8/1/2018,7701.819,7659.524,8133.298,8109.537,10701358279
7/1/2018,7451.897,7443.103,7933.306,7671.789,9424389971
6/1/2018,7487.662,7419.56,7806.596,7510.304,12841254425
5/1/2018,7053.648,6991.137,7492.423,7442.117,10635804212
4/1/2018,7016.173,6805.96,7319.576,7066.266,10155255992
3/1/2018,7274.75,6901.066,7637.269,7063.445,12330610876
2/1/2018,7377.173,6630.672,7441.094,7273.009,10805256007
1/1/2018,6937.654,6924.081,7505.772,7411.482,10402836615
12/1/2017,6844.04,6734.128,7003.891,6903.389,10003547944
11/1/2017,6758.639,6667.309,6914.189,6873.973,10199649517
10/1/2017,6506.08,6484.138,6737.751,6727.669,9643769843
9/1/2017,6442.167,6334.589,6497.977,6495.959,9408462400
8/1/2017,6372.162,6177.186,6435.267,6428.662,9581315806
7/1/2017,6173.289,6081.961,6460.841,6348.123,8578650016
6/1/2017,6215.915,6087.81,6341.696,6140.42,12495363264
5/1/2017,6067.556,5996.815,6221.986,6198.517,10239273745
4/1/2017,5917.315,5805.15,6074.04,6047.606,8302492073
3/1/2017,5874.86,5769.39,5928.061,5911.738,10998962695
2/1/2017,5654.507,5616.405,5867.886,5825.438,8563523411
1/1/2017,5425.621,5397.99,5669.611,5614.786,8376144160
12/1/2016,5323.882,5238.207,5512.368,5383.117,9320947928
11/1/2016,5199.774,5034.406,5403.861,5323.681,9909321423
10/1/2016,5300.287,5169.758,5340.522,5189.135,7966814717
9/1/2016,5218.276,5097.796,5342.875,5312.002,9630437304
8/1/2016,5167.421,5109.803,5275.741,5213.219,8786093113
7/1/2016,4837.177,4786.009,5175.811,5162.131,8009903153
6/1/2016,4928.97,4574.254,4980.137,4842.672,10955133083
5/1/2016,4786.547,4678.38,4951.45,4948.055,9206781361
4/1/2016,4842.551,4740.842,4969.32,4775.358,8823597357
3/1/2016,4596.006,4581.752,4899.136,4869.847,10058118191
2/1/2016,4587.592,4209.759,4636.928,4557.95,10514593734
1/1/2016,4897.653,4313.385,4926.733,4613.953,10699146163
12/1/2015,5129.637,4871.587,5176.772,5007.411,9858187956
11/1/2015,5065.637,4908.662,5163.47,5108.666,8403493401
10/1/2015,4624.464,4552.344,5095.69,5053.748,9908891296
9/1/2015,4673.607,4487.061,4960.868,4620.165,10526666328
8/1/2015,5134.341,4292.144,5175.264,4776.508,10457312364
7/1/2015,5029.045,4901.511,5231.942,5128.281,9461291999
6/1/2015,5094.941,4956.228,5164.363,4986.867,10528390818
5/1/2015,4966.32,4888.171,5111.537,5070.025,8571345051
4/1/2015,4894.356,4844.392,5119.828,4941.424,8956098702
3/1/2015,4973.434,4825.93,5042.137,4900.884,10385094747
2/1/2015,4650.604,4580.46,4989.249,4963.527,8773354039
1/1/2015,4760.244,4563.107,4777.012,4635.24,10019024893
12/1/2014,4777.727,4547.306,4814.954,4736.053,10630135232
11/1/2014,4633.708,4594.915,4810.861,4791.63,8476388591
10/1/2014,4486.646,4116.599,4641.513,4630.741,12866171303
9/1/2014,4592.422,4464.442,4610.57,4493.39,10136578781
8/1/2014,4363.389,4321.886,4580.271,4580.271,8184923095
7/1/2014,4424.706,4351.04,4485.925,4369.773,9698919623
6/1/2014,4247.956,4207.611,4417.464,4408.178,10349600999
5/1/2014,4121.252,4021.05,4252.083,4242.618,9827622749
4/1/2014,4219.873,3946.028,4286.085,4114.556,11052431542
3/1/2014,4261.419,4131.814,4371.706,4198.994,11616764933
2/1/2014,4105.059,3968.189,4342.593,4308.119,9937205957
1/1/2014,4160.031,4044.763,4246.553,4103.877,10888382138
12/1/2013,4065.657,3979.594,4177.728,4176.59,9258295816
11/1/2013,3932.449,3855.069,4069.7,4059.886,8563264691
10/1/2013,3774.18,3650.027,3966.71,3919.706,10305048923
9/1/2013,3622.638,3593.619,3798.76,3771.479,8325037168
8/1/2013,3654.18,3573.568,3694.188,3589.868,7583450829
7/1/2013,3430.48,3415.23,3649.35,3626.37,8366121811
6/1/2013,3460.76,3294.95,3488.31,3403.25,9559899529
5/1/2013,3325.35,3296.51,3532.04,3455.91,9016196009
4/1/2013,3268.63,3154.96,3328.79,3328.79,9229704287
3/1/2013,3143.54,3129.4,3270.3,3267.52,7851575230
2/1/2013,3162.94,3105.36,3213.6,3160.19,8070915907
1/1/2013,3091.33,3076.6,3164.06,3142.13,8316180715
12/1/2012,3029.21,2951.04,3061.82,3019.51,7725068038
11/1/2012,2987.54,2810.8,3033.85,3010.24,8594081618
10/1/2012,3130.31,2961.16,3171.46,2977.23,8246779298
9/1/2012,3063.25,3040.24,3196.93,3116.23,8064576503
8/1/2012,2956.72,2890.85,3100.54,3066.96,8589430282
7/1/2012,2938.41,2837.72,2987.94,2939.52,8858284945
6/1/2012,2810.13,2726.68,2942.28,2935.05,10158062665
5/1/2012,3044.79,2774.45,3085.4,2827.34,10552964125
